Gene n.marker n.marker.test p.value
TECR 55 10 0.149999484838908
ZNF333 147 11 0.522305985134109
ADGRE2 130 14 0.659136517688352
ADGRE3 124 5 0.0679446396496765
ADGRE5 140 11 0.153006963544196
CLEC17A 69 6 0.248196138576256
DDX39A 64 5 0.34933351621753
DNAJB1 51 6 0.582450605295365
GIPC1 51 7 0.0814311183059034
NDUFB7 20 2 0.230950816947799
PKN1 156 9 0.518156797254853
PTGER1 71 6 0.708767629726468
TECR 59 3 0.854843000986317
ZNF333 116 9 0.304531454317404
ADGRE2 125 8 0.889554433580119
ADGRE3 115 5 0.0275564664348401
ADGRE5 117 13 0.00901029657506736
CLEC17A 67 4 0.902752293419359
DDX39A 78 12 0.485279003519274
DNAJB1 47 2 0.438693928964942
GIPC1 46 4 1
NDUFB7 25 0 1
PKN1 165 17 0.598870974919295
PTGER1 65 8 0.0993541269311479
TECR 45 5 0.333924905718099
ZNF333 136 13 0.777019409854907
ADGRE2 127 16 1
ADGRE3 108 6 0.313354467703584
ADGRE5 153 12 0.000843889505837803
CLEC17A 70 5 0.52751603398097
DDX39A 73 6 0.459206663489148
DNAJB1 60 9 0.0605275727493975
GIPC1 62 7 0.318808409619754
NDUFB7 17 1 0.930114955158999
PKN1 137 6 0.898877649003237
PTGER1 52 6 0.856795964623376
TECR 42 4 0.663782803950584
ZNF333 133 8 0.911394653551829
ADGRE2 133 12 0.840647649269122
ADGRE3 116 8 0.145118244999314
ADGRE5 137 11 0.272514167384353
CLEC17A 71 7 0.315967266773832
DDX39A 66 3 0.404088267274016
DNAJB1 59 6 1
GIPC1 50 1 0.456096780625797
NDUFB7 27 4 0.41363940755813
PKN1 175 16 0.632352255363212
PTGER1 67 4 0.102187103595501
TECR 44 5 0.0120698291913863
ZNF333 124 11 0.805924020491148
ADGRE2 132 10 1
ADGRE3 133 8 0.0214044472253831
ADGRE5 153 16 0.275215246640947
CLEC17A 58 6 0.143022732164229
DDX39A 59 7 0.204911487429829
DNAJB1 54 6 0.488687435647613
GIPC1 49 8 0.528599323002789
NDUFB7 26 2 0.432929697441567
PKN1 151 8 0.655083862670011
PTGER1 59 3 0.514607168085862
TECR 49 6 0.88760295246177
ZNF333 131 12 0.456767204969064
ADGRE2 134 10 0.602098751858067
ADGRE3 97 9 0.415516147815103
ADGRE5 143 16 0.0715591570096044
CLEC17A 68 1 1
DDX39A 72 8 0.477996496463331
DNAJB1 55 5 0.62516749434831
GIPC1 52 3 1
NDUFB7 32 3 1
PKN1 162 11 0.298260520292437
PTGER1 66 2 0.224231936204505
TECR 61 6 0.338247166620222
ZNF333 142 9 0.156108425485212
ADGRE2 126 14 0.617053584264945
ADGRE3 125 8 0.00806663632434834
ADGRE5 143 17 0.0020607866795096
CLEC17A 78 6 0.580564391838087
DDX39A 59 4 0.536135793011985
DNAJB1 58 4 0.272442951968966
GIPC1 41 3 0.274617569193341
NDUFB7 17 1 1
PKN1 138 13 0.320581555546984
PTGER1 57 4 0.162695991500654
TECR 46 3 0.698373698749127
ZNF333 157 11 0.277914557418516
ADGRE2 147 12 0.61987921546509
ADGRE3 90 9 0.21436362964588
ADGRE5 142 10 1
CLEC17A 65 5 0.66338450423517
DDX39A 67 4 0.634679410721543
DNAJB1 50 4 0.152964653208574
GIPC1 42 3 0.543661411051792
NDUFB7 29 2 0.859058281890028
PKN1 141 7 0.676311694535975
PTGER1 65 6 0.489467852751181
TECR 58 8 0.265770518294898
ZNF333 135 10 0.286619966542694
ADGRE2 127 13 0.244274742929144
ADGRE3 115 8 0.0171750943927866
ADGRE5 138 8 0.754678398036317
CLEC17A 69 3 0.571596234651668
DDX39A 70 6 0.536723175849185
DNAJB1 59 1 1
GIPC1 52 5 0.682617915386522
NDUFB7 24 0 1
PKN1 140 13 0.805575523398755
PTGER1 66 2 0.083591750486524
TECR 56 2 0.00566439661658646
ZNF333 161 11 0.111527259067072
ADGRE2 132 10 0.718395545286247
ADGRE3 96 9 0.142810399565141
ADGRE5 137 8 0.369979181055821
CLEC17A 82 8 0.395353852210991
DDX39A 76 4 0.556953075906518
DNAJB1 63 6 0.263343353162892
GIPC1 42 4 0.750821890515784
NDUFB7 27 2 0.753334755670927
PKN1 144 7 0.0751591646665317
PTGER1 65 6 0.135651690280014
TECR 35 1 0.331762982724965
ZNF333 144 15 0.269021366064861
ADGRE2 134 11 0.710337790631572
ADGRE3 103 9 0.902015921395045
ADGRE5 138 5 0.146889229190803
CLEC17A 63 3 1
DDX39A 64 6 0.15633361530894
DNAJB1 59 9 0.140012320255359
GIPC1 59 6 0.403688660387922
NDUFB7 29 4 0.496179853531314
PKN1 140 17 0.838484726995089
PTGER1 65 4 1
TECR 62 4 0.491047487191912
ZNF333 132 9 0.278710319555324
ADGRE2 144 10 0.356922681853646
ADGRE3 94 5 1
ADGRE5 145 14 0.0036125093344922
CLEC17A 65 10 0.677033540051697
DDX39A 74 10 0.526197072037191
DNAJB1 49 4 0.0603388522368927
GIPC1 58 5 0.883595975195091
NDUFB7 23 4 0.841676028037867
PKN1 163 7 0.0277893722156218
PTGER1 72 2 0.688049514556802
TECR 43 5 0.00136127349961712
ZNF333 146 8 0.697022287405179
ADGRE2 137 12 0.854456246932938
ADGRE3 115 8 0.135182985035702
ADGRE5 140 8 0.0217543871617244
CLEC17A 63 4 0.440615887363177
DDX39A 60 6 0.869834355814752
DNAJB1 57 6 0.768311496372072
GIPC1 47 0 1
NDUFB7 20 0 1
PKN1 156 16 0.361492485211741
PTGER1 75 6 0.0361694801543475
TECR 50 4 0.5743110078501
ZNF333 131 13 0.12353733623667
ADGRE2 125 9 0.802410675787393
ADGRE3 112 7 0.387707825899599
ADGRE5 141 14 0.0113601252174199
CLEC17A 55 3 0.649550684965075
DDX39A 73 5 0.234087084060815
DNAJB1 47 5 0.479271773969823
GIPC1 67 8 0.123820646505082
NDUFB7 30 4 0.631174245506198
PKN1 178 12 0.914270334195724
PTGER1 55 7 0.160246351593486
TECR 50 1 0.355050680199562
ZNF333 132 5 0.376460711121931
ADGRE2 123 9 0.431871804614082
ADGRE3 114 11 0.222287122499894
ADGRE5 132 10 0.0598379612038904
CLEC17A 63 8 0.717645246823566
DDX39A 74 5 0.846421911231193
DNAJB1 56 4 0.405331070324998
GIPC1 47 1 0.0246299940988666
NDUFB7 24 1 0.420853140459808
PKN1 148 17 0.700903720044935
PTGER1 63 8 1
TECR 43 4 0.624010671374984
ZNF333 132 9 0.0799938118002828
ADGRE2 124 17 1
ADGRE3 129 12 1
ADGRE5 135 13 0.0195085240237792
CLEC17A 72 2 0.419718139315637
DDX39A 71 2 0.798134381822421
DNAJB1 60 5 0.827276751701731
GIPC1 56 1 0.79912966831081
NDUFB7 26 3 0.844525868203775
PKN1 151 13 0.538311929860766
PTGER1 69 8 0.555457754511975
TECR 46 6 1
ZNF333 143 5 0.64636569552492
ADGRE2 135 6 0.835131980142831
ADGRE3 113 11 0.0580779271960251
ADGRE5 136 11 0.478126314071943
CLEC17A 68 5 0.732731277711575
