rep,gene,case_fun,case_syn,control_fun,control_syn
12,DNAJB1,14,8,60,48
12,GIPC1,10,12,62,38
12,NDUFB7,3,1,18,5
12,PKN1,43,18,189,117
12,PTGER1,12,9,54,40
12,TECR,15,1,57,15
12,ZNF333,22,13,162,61
13,ADGRE2,23,9,180,69
13,ADGRE3,48,14,186,83
13,ADGRE5,31,17,120,93
13,CLEC17A,9,5,51,40
13,DDX39A,24,9,116,48
13,DNAJB1,11,4,57,15
13,GIPC1,5,8,47,54
13,NDUFB7,5,2,14,16
13,PKN1,28,26,112,94
13,PTGER1,14,8,61,38
13,TECR,16,17,30,50
13,ZNF333,24,14,140,59
14,ADGRE2,21,8,129,93
14,ADGRE3,30,15,108,87
14,ADGRE5,58,13,162,96
14,CLEC17A,7,12,38,49
14,DDX39A,11,8,64,25
14,DNAJB1,10,6,56,31
14,GIPC1,15,5,44,35
14,NDUFB7,1,2,11,13
14,PKN1,21,27,144,95
14,PTGER1,11,21,35,90
14,TECR,24,6,56,20
14,ZNF333,24,8,141,31
15,ADGRE2,21,18,162,154
15,ADGRE3,33,5,99,61
15,ADGRE5,34,24,114,124
15,CLEC17A,8,13,62,51
15,DDX39A,12,6,87,30
15,DNAJB1,12,3,127,14
15,GIPC1,18,7,64,47
15,NDUFB7,5,2,14,14
15,PKN1,25,30,189,153
15,PTGER1,14,11,85,46
15,TECR,17,1,32,19
15,ZNF333,33,12,150,50
16,ADGRE2,35,20,182,113
16,ADGRE3,37,14,121,64
16,ADGRE5,37,15,126,105
16,CLEC17A,17,7,79,47
16,DDX39A,16,5,62,34
16,DNAJB1,11,5,66,36
16,GIPC1,10,3,59,31
16,NDUFB7,12,2,43,11
16,PKN1,21,9,153,100
16,PTGER1,15,11,60,76
16,TECR,13,2,76,12
16,ZNF333,28,9,113,54
17,ADGRE2,14,17,97,122
17,ADGRE3,51,9,110,53
17,ADGRE5,64,24,168,139
17,CLEC17A,24,12,84,27
17,DDX39A,24,8,88,58
17,DNAJB1,15,6,72,30
17,GIPC1,13,9,60,48
17,NDUFB7,3,7,8,24
17,PKN1,34,21,214,101
17,PTGER1,12,4,39,42
17,TECR,14,8,39,50
17,ZNF333,16,15,87,69
18,ADGRE2,19,17,116,63
18,ADGRE3,27,15,95,45
18,ADGRE5,39,19,169,124
18,CLEC17A,22,9,90,28
18,DDX39A,16,10,57,22
18,DNAJB1,9,5,55,33
18,GIPC1,8,6,77,28
18,NDUFB7,5,0,40,4
18,PKN1,30,26,202,115
18,PTGER1,4,17,22,52
18,TECR,27,8,86,34
18,ZNF333,32,19,112,75
