rep,gene,case_fun,case_syn,control_fun,control_syn
7,NDUFB7,2,1,18,6
7,PKN1,36,24,236,183
7,PTGER1,13,5,67,56
7,TECR,8,10,44,41
7,ZNF333,21,7,178,50
8,ADGRE2,22,8,149,70
8,ADGRE3,35,9,134,84
8,ADGRE5,34,13,112,85
8,CLEC17A,12,5,87,55
8,DDX39A,15,5,102,31
8,DNAJB1,9,2,52,34
8,GIPC1,10,16,80,60
8,NDUFB7,2,1,25,1
8,PKN1,29,16,209,136
8,PTGER1,15,13,92,44
8,TECR,13,3,32,43
8,ZNF333,14,12,117,86
9,ADGRE2,20,17,200,123
9,ADGRE3,35,12,103,90
9,ADGRE5,31,8,169,110
9,CLEC17A,6,2,54,27
9,DDX39A,9,9,90,56
9,DNAJB1,11,5,69,28
9,GIPC1,10,3,68,25
9,NDUFB7,3,1,15,10
9,PKN1,24,22,179,170
9,PTGER1,6,9,34,48
9,TECR,12,2,75,19
9,ZNF333,21,11,143,53
10,ADGRE2,25,18,165,112
10,ADGRE3,30,11,97,69
10,ADGRE5,50,9,156,89
10,CLEC17A,13,5,77,37
10,DDX39A,18,7,106,50
10,DNAJB1,10,5,55,43
10,GIPC1,19,10,86,78
10,NDUFB7,6,1,56,3
10,PKN1,29,14,185,127
10,PTGER1,11,7,99,40
10,TECR,11,7,62,34
10,ZNF333,30,8,164,92
11,ADGRE2,22,12,166,102
11,ADGRE3,26,14,82,78
11,ADGRE5,59,19,206,103
11,CLEC17A,6,6,78,31
11,DDX39A,15,8,85,38
11,DNAJB1,6,3,71,19
11,GIPC1,9,3,52,25
11,NDUFB7,5,0,25,2
11,PKN1,23,18,181,113
11,PTGER1,11,8,78,27
11,TECR,4,18,39,83
11,ZNF333,29,15,181,95
12,ADGRE2,25,8,180,100
12,ADGRE3,43,15,172,89
12,ADGRE5,39,15,136,114
12,CLEC17A,8,6,75,36
12,DDX39A,7,6,50,18
12,DNAJB1,10,6,72,52
12,GIPC1,10,12,73,65
12,NDUFB7,3,1,32,18
12,PKN1,31,18,172,137
12,PTGER1,12,9,71,79
12,TECR,15,1,68,24
12,ZNF333,18,10,160,64
13,ADGRE2,21,9,135,80
13,ADGRE3,39,7,202,72
13,ADGRE5,29,17,166,85
13,CLEC17A,9,5,77,41
13,DDX39A,14,7,66,52
13,DNAJB1,9,4,47,15
13,GIPC1,5,4,81,41
13,NDUFB7,5,2,21,22
13,PKN1,28,26,145,134
13,PTGER1,14,5,60,21
13,TECR,20,13,55,59
13,ZNF333,24,14,143,55
14,ADGRE2,18,8,94,82
14,ADGRE3,26,14,116,72
14,ADGRE5,58,10,168,59
14,CLEC17A,7,9,61,39
14,DDX39A,11,8,58,55
14,DNAJB1,5,10,60,54
14,GIPC1,15,5,44,22
14,NDUFB7,1,2,4,7
14,PKN1,19,20,148,93
14,PTGER1,11,14,55,86
14,TECR,24,6,93,25
14,ZNF333,22,8,157,34
15,ADGRE2,17,11,136,93
15,ADGRE3,33,5,113,64
15,ADGRE5,34,14,142,97
15,CLEC17A,8,9,76,64
15,DDX39A,12,6,78,40
15,DNAJB1,4,3,94,24
15,GIPC1,16,7,65,55
15,NDUFB7,5,2,16,7
15,PKN1,20,15,170,119
15,PTGER1,8,11,69,69
15,TECR,17,1,28,18
15,ZNF333,33,8,164,53
16,ADGRE2,34,18,190,128
16,ADGRE3,32,12,154,85
16,ADGRE5,33,15,158,83
16,CLEC17A,13,4,59,37
16,DDX39A,16,5,78,31
16,DNAJB1,10,3,60,26
16,GIPC1,7,3,68,45
16,NDUFB7,9,2,31,15
16,PKN1,21,9,158,80
16,PTGER1,11,7,76,52
16,TECR,13,2,78,16
16,ZNF333,28,4,154,36
17,ADGRE2,14,16,105,139
17,ADGRE3,49,8,112,45
17,ADGRE5,61,18,215,163
