rep,gene,case_fun,case_syn,control_fun,control_syn
16,ADGRE5,33,15,130,67
16,CLEC17A,17,4,59,31
16,DDX39A,16,5,60,28
16,DNAJB1,10,5,56,23
16,GIPC1,7,3,57,39
16,NDUFB7,12,2,44,15
16,PKN1,21,9,143,75
16,PTGER1,15,11,74,64
16,TECR,13,2,66,14
16,ZNF333,28,9,126,44
17,ADGRE2,14,16,84,115
17,ADGRE3,51,9,113,48
17,ADGRE5,64,24,189,167
17,CLEC17A,24,12,105,37
17,DDX39A,24,8,80,53
17,DNAJB1,15,6,81,33
17,GIPC1,13,5,69,24
17,NDUFB7,3,7,17,31
17,PKN1,27,18,208,90
17,PTGER1,12,4,62,26
17,TECR,14,7,30,30
17,ZNF333,16,12,79,63
18,ADGRE2,19,14,128,85
18,ADGRE3,27,15,101,50
18,ADGRE5,39,19,164,84
18,CLEC17A,22,9,88,23
18,DDX39A,16,10,42,40
18,DNAJB1,9,5,40,25
18,GIPC1,8,4,58,8
18,NDUFB7,5,0,35,5
18,PKN1,22,25,158,111
18,PTGER1,4,17,22,75
18,TECR,23,8,76,39
18,ZNF333,31,19,120,104
19,ADGRE2,29,16,158,96
19,ADGRE3,35,23,120,106
19,ADGRE5,32,9,155,59
19,CLEC17A,10,2,64,31
19,DDX39A,17,8,60,73
19,DNAJB1,14,6,48,38
19,GIPC1,10,3,60,34
19,NDUFB7,5,1,13,12
19,PKN1,30,30,141,213
19,PTGER1,18,4,86,38
19,TECR,16,5,50,27
19,ZNF333,25,11,100,34
20,ADGRE2,30,19,94,94
20,ADGRE3,29,12,138,78
20,ADGRE5,42,27,155,106
20,CLEC17A,13,9,84,36
20,DDX39A,9,8,81,47
20,DNAJB1,5,2,48,25
20,GIPC1,13,6,53,30
20,NDUFB7,2,0,26,0
20,PKN1,23,24,128,111
20,PTGER1,7,12,52,54
20,TECR,11,5,56,34
20,ZNF333,37,8,188,61
21,ADGRE2,27,14,144,82
21,ADGRE3,21,17,91,84
21,ADGRE5,53,10,102,75
21,CLEC17A,11,6,61,29
21,DDX39A,15,9,54,57
21,DNAJB1,5,4,36,29
21,GIPC1,9,8,29,55
21,NDUFB7,2,7,11,34
21,PKN1,17,19,108,108
21,PTGER1,11,9,59,39
21,TECR,14,1,84,26
21,ZNF333,30,11,156,48
22,ADGRE2,33,10,159,61
22,ADGRE3,31,17,119,70
22,ADGRE5,41,12,148,72
22,CLEC17A,6,5,32,24
22,DDX39A,10,5,61,30
22,DNAJB1,12,7,64,48
22,GIPC1,6,20,48,67
22,NDUFB7,4,3,21,29
22,PKN1,29,13,142,82
22,PTGER1,10,6,58,51
22,TECR,17,10,33,42
22,ZNF333,30,15,144,92
23,ADGRE2,22,13,129,80
23,ADGRE3,41,8,150,55
23,ADGRE5,21,15,123,74
23,CLEC17A,3,8,37,42
23,DDX39A,17,7,98,26
23,DNAJB1,15,7,62,52
23,GIPC1,16,1,86,15
23,NDUFB7,0,4,15,24
23,PKN1,18,39,114,172
23,PTGER1,10,8,76,45
23,TECR,17,9,38,55
23,ZNF333,21,4,159,71
24,ADGRE2,24,8,141,57
24,ADGRE3,44,19,116,99
24,ADGRE5,24,13,96,85
24,CLEC17A,18,3,55,31
24,DDX39A,11,7,67,64
24,DNAJB1,6,3,46,20
24,GIPC1,17,8,79,51
24,NDUFB7,5,0,42,5
24,PKN1,41,19,209,112
24,PTGER1,9,6,70,34
24,TECR,14,13,58,69
24,ZNF333,27,15,140,55
25,ADGRE2,11,6,131,52
25,ADGRE3,30,14,78,65
25,ADGRE5,45,21,149,109
25,CLEC17A,3,4,53,31
25,DDX39A,12,12,100,52
25,DNAJB1,10,5,36,36
25,GIPC1,19,11,59,32
25,NDUFB7,12,5,38,18
25,PKN1,31,14,186,94
25,PTGER1,13,7,97,35
25,TECR,17,11,76,42
25,ZNF333,23,5,133,68
26,ADGRE2,24,19,141,92
26,ADGRE3,38,16,88,105
26,ADGRE5,40,15,129,61
26,CLEC17A,10,8,56,47
26,DDX39A,5,6,28,28
26,DNAJB1,10,7,87,25
26,GIPC1,13,9,77,38
26,NDUFB7,1,0,28,5
26,PKN1,27,18,165,149
26,PTGER1,8,7,70,66
26,TECR,12,7,56,48
26,ZNF333,27,8,171,52
27,ADGRE2,27,13,139,81
27,ADGRE3,27,15,93,50
27,ADGRE5,48,15,185,108
27,CLEC17A,12,9,35,43
27,DDX39A,11,4,53,35
27,DNAJB1,12,9,54,28
27,GIPC1,16,7,100,42
27,NDUFB7,7,3,28,4
27,PKN1,33,20,154,96
27,PTGER1,8,12,67,45
27,TECR,16,9,71,44
27,ZNF333,25,15,142,64
28,ADGRE2,23,16,107,94
28,ADGRE3,42,10,138,73
28,ADGRE5,49,18,111,131
28,CLEC17A,19,15,92,67
28,DDX39A,13,3,62,18
28,DNAJB1,9,7,34,51
28,GIPC1,6,9,27,44
28,NDUFB7,10,2,34,8
28,PKN1,28,20,187,91
28,PTGER1,14,9,58,64
28,TECR,14,0,61,27
28,ZNF333,30,14,149,88
29,ADGRE2,30,22,115,150
29,ADGRE3,35,12,151,55
29,ADGRE5,55,15,174,108
29,CLEC17A,11,12,51,81
29,DDX39A,20,5,57,33
29,DNAJB1,15,2,102,10
29,GIPC1,19,10,51,50
29,NDUFB7,9,4,38,13
29,PKN1,24,18,154,102
29,PTGER1,10,14,53,46
29,TECR,19,5,58,31
29,ZNF333,20,5,91,32
30,ADGRE2,32,20,167,85
30,ADGRE3,47,23,180,93
30,ADGRE5,36,13,163,87
30,CLEC17A,10,6,48,30
30,DDX39A,10,8,54,64
30,DNAJB1,15,12,77,42
30,GIPC1,5,2,42,26
30,NDUFB7,5,2,24,4
30,PKN1,24,5,199,62
30,PTGER1,8,12,69,57
30,TECR,10,4,52,53
30,ZNF333,28,12,162,65
31,ADGRE2,32,14,185,87
31,ADGRE3,44,11,161,83
31,ADGRE5,35,28,114,138
31,CLEC17A,15,3,96,12
31,DDX39A,7,9,61,53
31,DNAJB1,6,6,58,35
31,GIPC1,15,9,77,49
31,NDUFB7,5,3,26,4
31,PKN1,27,20,156,97
31,PTGER1,8,4,37,51
31,TECR,19,4,102,44
31,ZNF333,22,18,120,90
32,ADGRE2,23,20,144,127
32,ADGRE3,35,6,154,59
32,ADGRE5,34,25,123,140
32,CLEC17A,11,6,85,32
32,DDX39A,10,13,62,53
32,DNAJB1,11,4,85,24
32,GIPC1,16,6,83,31
32,NDUFB7,1,0,10,11
32,PKN1,24,19,142,175
32,PTGER1,8,6,55,22
32,TECR,14,2,42,14
32,ZNF333,19,15,117,77
33,ADGRE2,28,30,168,150
33,ADGRE3,38,11,182,98
33,ADGRE5,40,23,178,119
33,CLEC17A,11,6,66,21
33,DDX39A,15,8,73,46
33,DNAJB1,6,9,55,33
33,GIPC1,12,6,49,39
33,NDUFB7,1,5,6,15
33,PKN1,22,14,155,69
33,PTGER1,6,12,76,43
33,TECR,6,3,21,18
33,ZNF333,18,17,168,54
34,ADGRE2,30,13,153,98
34,ADGRE3,50,11,90,46
34,ADGRE5,54,11,176,83
34,CLEC17A,4,11,64,40
34,DDX39A,8,3,62,18
34,DNAJB1,5,6,89,28
34,GIPC1,13,10,26,57
34,NDUFB7,4,7,22,40
34,PKN1,35,14,169,62
