rep,gene,case_fun,case_syn,control_fun,control_syn,case_ratio,control_ratio,case_fun_w,control_fun_w,prox,prox_w
8,ADGRE3,35,9,101,67,3.88888888888889,1.50746268656716,19.9664429530201,61.3912044458694,0.0133210851790067,0.0359338586683264
8,ADGRE5,34,13,132,65,2.61538461538462,2.03076923076923,19.3959731543624,80.2340493747996,0.476579958623858,0.665462601159345
8,CLEC17A,11,5,56,51,2.2,1.09803921568627,6.2751677852349,34.0386876135514,0.212454638759921,0.362028534711199
8,DDX39A,15,5,66,38,3,1.73684210526316,8.55704697986577,40.1170246873998,0.310131296410457,0.367744832014933
8,DNAJB1,9,5,54,48,1.8,1.125,5.13422818791946,32.8230201987817,0.420491043014702,0.579072229918693
8,GIPC1,13,16,69,44,0.8125,1.56818181818182,7.41610738255034,41.9405258095543,0.116357114342141,0.11119411605855
8,NDUFB7,2,3,35,16,0.666666666666667,2.1875,1.14093959731544,21.2741797584696,0.211130884823136,0.221713462436739
8,PKN1,29,17,208,125,1.70588235294118,1.664,16.5436241610738,126.429411136048,0.939123000690458,1
8,PTGER1,18,13,83,35,1.38461538461538,2.37142857142857,10.2684563758389,50.4501977129422,0.200112736222766,0.190278862873893
8,TECR,13,3,31,29,4.33333333333333,1.06896551724138,7.41610738255034,18.8428449289302,0.02682223278833,0.0775174621254197
8,ZNF333,16,15,134,78,1.06666666666667,1.71794871794872,9.12751677852349,81.4497167895693,0.219755233838983,0.217167489313588
9,ADGRE2,31,20,213,126,1.55,1.69047619047619,13.1914893617021,106.269978401728,0.778735708305902,0.494986195524814
9,ADGRE3,35,14,100,81,2.5,1.23456790123457,14.8936170212766,49.8920086393088,0.0380197634000575,0.181916907415732
9,ADGRE5,35,8,155,93,4.375,1.66666666666667,14.8936170212766,77.3326133909287,0.0120908196289137,0.071331037649309
9,CLEC17A,9,2,84,17,4.5,4.94117647058824,3.82978723404255,41.9092872570194,0.910530631215662,0.822344166194214
9,DDX39A,9,9,68,58,1,1.17241379310345,3.82978723404255,33.92656587473,0.7524516732827,0.664142483305888
9,DNAJB1,11,5,51,22,2.2,2.31818181818182,4.68085106382979,25.4449244060475,0.93025980388921,0.889264636086005
9,GIPC1,10,6,44,17,1.66666666666667,2.58823529411765,4.25531914893617,21.9524838012959,0.460643573467532,0.355643434661285
9,NDUFB7,3,1,14,5,3,2.8,1.27659574468085,6.98488120950324,0.956402947770516,0.882127581350394
9,PKN1,24,22,159,106,1.09090909090909,1.5,10.2127659574468,79.3282937365011,0.322008363889343,0.218045115287589
9,PTGER1,6,12,23,37,0.5,0.621621621621622,2.5531914893617,11.475161987041,0.698696384581975,1
9,TECR,12,2,85,13,6,6.53846153846154,5.1063829787234,42.4082073434125,0.917133213425271,0.777871324189413
9,ZNF333,28,11,139,34,2.54545454545455,4.08823529411765,11.9148936170213,69.3498920086393,0.250638610952966,0.186399083986087
10,ADGRE2,29,18,147,98,1.61111111111111,1.5,13.0546623794212,90.4615384615385,0.826794235503095,0.538475168494802
10,ADGRE3,33,11,80,65,3,1.23076923076923,14.8553054662379,49.2307692307692,0.016250305190368,0.174963212849683
10,ADGRE5,50,14,145,101,3.57142857142857,1.43564356435644,22.508038585209,89.2307692307692,0.0035252289217177,0.0871647111327984
10,CLEC17A,13,5,49,28,2.6,1.75,5.85209003215434,30.1538461538462,0.484850996573345,0.868386730800308
10,DDX39A,19,19,68,80,1,0.85,8.55305466237942,41.8461538461538,0.655278093408399,0.837827311219598
10,DNAJB1,10,7,26,50,1.42857142857143,0.52,4.5016077170418,16,0.0628953897583306,0.230831779877592
10,GIPC1,23,10,105,53,2.3,1.9811320754717,10.3536977491961,64.6153846153846,0.717140434923616,0.679587362791209
10,NDUFB7,6,1,41,2,6,20.5,2.70096463022508,25.2307692307692,NA,NA
10,PKN1,30,16,140,115,1.875,1.21739130434783,13.5048231511254,86.1538461538462,0.190112515189655,0.698314903418383
10,PTGER1,11,7,70,18,1.57142857142857,3.88888888888889,4.95176848874598,43.0769230769231,0.108288257088364,0.0607413864783792
10,TECR,15,7,69,19,2.14285714285714,3.63157894736842,6.7524115755627,42.4615384615385,0.324700640737923,0.190179310595119
10,ZNF333,32,5,141,57,6.4,2.47368421052632,14.4051446945338,86.7692307692308,0.040434063147382,0.252508061210747
11,ADGRE2,29,12,168,112,2.41666666666667,1.5,16.8932038834951,108.510288065844,0.180369324762116,0.345172742628646
11,ADGRE3,28,20,84,103,1.4,0.815533980582524,16.3106796116505,54.2551440329218,0.0967503575947619,0.263061041473041
11,ADGRE5,63,19,158,103,3.31578947368421,1.53398058252427,36.6990291262136,102.051342347639,0.00586835952171945,0.0286940741918337
11,CLEC17A,6,10,70,53,0.6,1.32075471698113,3.49514563106796,45.2126200274348,0.142550219636363,0.110500800794651
11,DDX39A,18,8,110,61,2.25,1.80327868852459,10.4854368932039,71.0484029002547,0.622329166911803,0.914299654958821
11,DNAJB1,8,3,101,28,2.66666666666667,3.60714285714286,4.66019417475728,65.2353517538703,0.676517636163169,0.676988413640757
11,GIPC1,14,3,63,23,4.66666666666667,2.73913043478261,8.15533980582524,40.6913580246914,0.415461888598267,0.571620064763391
11,NDUFB7,5,4,36,3,1.25,12,2.9126213592233,23.2522045855379,0.0116618570411916,0.0147438534295441
11,PKN1,27,18,128,102,1.5,1.25490196078431,15.7281553398058,82.6745051930237,0.589600533428525,0.815395522106014
11,PTGER1,15,12,75,48,1.25,1.5625,8.7378640776699,48.4420928865373,0.604179845448698,0.555875580161022
11,TECR,4,18,56,45,0.222222222222222,1.24444444444444,2.33009708737864,36.1700960219479,0.00103517643589968,0.00213279809372076
11,ZNF333,29,15,152,63,1.93333333333333,2.41269841269841,16.8932038834951,98.1759749167156,0.531925468911748,0.417592326067551
12,ADGRE2,30,19,145,138,1.57894736842105,1.05072463768116,16,87.6649508656996,0.193952140344725,0.448806178981267
12,ADGRE3,43,17,130,68,2.52941176470588,1.91176470588235,22.9333333333333,78.59616284511,0.381172319632973,0.671662625513995
12,ADGRE5,45,19,123,112,2.36842105263158,1.09821428571429,24,74.3640617688348,0.00912171851026528,0.0567903431468961
12,CLEC17A,12,6,57,34,2,1.67647058823529,6.4,34.4613944782405,0.744507543959566,1
12,DDX39A,7,6,48,19,1.16666666666667,2.52631578947368,3.73333333333333,29.0201216658868,0.216991103975049,0.239449320656697
