ADGRE2 ADGRE3 ADGRE5 CLEC17A DDX39A DNAJB1 GIPC1 NDUFB7 PKN1 PTGER1 TECR ZNF333
0.505155540862525 0.00514738542582172 0.000861522091198164 1 0.306166417069662 0.140360955240001 0.0919176370455202 0.85477684675295 0.88638195132546 0.25996673431366 1 0.835608518008611
0.538093336899331 0.0307610213612127 0.320405713654747 0.778555965536723 0.0083103395362627 0.481643608523413 1 1 0.531669972665796 1 1 0.151443106401006
0.885452519226282 0.752398894468741 0.587723795096744 1 0.633453941696324 1 0.316372484463533 1 0.791290577031853 1 1 0.82862941323067
0.406083212865494 0.151259351162041 0.671935313606721 0.385117144415306 0.556729839111148 1 1 1 0.496610017287513 0.21484137860391 1 0.774762668581415
1 0.463354628941989 0.415639370599958 0.706299753289012 1 1 1 0.385117144415306 0.568774645329443 0.802187993097206 0.781726591227245 0.361532437775906
1 0.1649981811954 0.52163432904087 0.652926032621564 1 0.341258855327727 1 1 0.157289163409421 1 0.807196800811427 0.289933121551184
0.829352095526487 0.0757256541703888 1 1 0.781317720280275 0.603203169730982 1 0.607308276843231 0.60928991704148 1 1 0.789363256636166
0.728136500504462 0.628381152290903 1 1 1 0.225396973806181 1 1 0.878281399671253 0.707580125400566 0.750552621354424 0.817872397427486
0.739074294522105 1 0.698251304405224 0.266695090336221 0.18764791129215 0.513514669068996 0.720937874618771 1 1 0.635132544518492 1 0.538614864521024
1 0.161195236870143 0.127902649253053 0.292923496065859 0.287481623763205 0.140360955240001 0.59200740422108 1 0.381970167645983 0.767338564229099 1 0.728437441911151
1 0.429764377648786 0.827623279880631 0.202959681348362 0.516466675482914 0.67329218721185 0.749238590050345 0.603951461787231 0.712273559703735 0.166185950544937 1 0.290823498804528
0.259282387422092 0.642040991286915 0.186827176201966 1 0.589624660628213 0.864162273697639 0.759689593180598 1 0.0994060570912727 1 0.213794366485001 1
1 0.762529779081552 0.183230132088944 0.54225946227951 0.928642690414142 1 1 0.131957215589557 0.171219431098098 1 1 0.431762648571439
0.613330010071392 0.0752000830975605 0.31086731809796 0.435646404379714 0.591158247017769 0.39376386144067 0.835273349361916 1 0.578039142862974 0.190271922489837 1 0.656821761800185
0.531475579050287 0.0464692684691913 0.516667484703131 0.906434236724866 0.862314265456955 1 0.462282660205249 0.753916237312315 0.423312201932524 0.836582231389506 1 0.447415235542565
0.351125544663011 0.0121715221015336 0.118439945420136 0.483517981006866 0.1947455682391 1 1 1 0.40015058608726 1 1 0.462779107381671
1 0.245886071186032 0.514319417006734 0.695437683505324 0.377965049481532 0.684388010182125 0.322557116317146 1 0.379789384809658 1 0.771412650946638 0.122281186636996
0.664627365309472 0.0483157414936507 0.375513628442323 1 0.690151585587795 0.140360955240001 0.583373872476018 1 0.357007473369862 0.565424588040572 0.877038681507414 0.248107370376438
0.777306349971968 0.16164890602741 0.741349866104719 0.5138166548954 0.546432955332811 0.0373259658183641 1 1 1 1 0.449194580313745 0.455975428064099
0.343404523149232 1 0.585415242223177 0.0995380946044684 0.242884185360684 0.100994481832632 1 1 1 0.196779258548539 1 1
0.189286754878499 0.219681941639427 0.631385232254184 0.423312201932524 0.688883839332717 1 1 1 0.568837910404132 1 1 1
0.251452394163714 0.124626895429429 0.385999760738254 0.53317895382357 0.64357866695403 0.751046840361525 1 0.856578910539823 0.781953199146706 0.163303690212693 1 0.885489122128614
1 0.486656046390012 0.0148207342115316 0.517564117812801 1 1 0.624837420071724 1 0.337891623905243 1 1 1
0.646323221230471 0.0248995946286936 0.906829814019954 0.823921497229668 1 1 0.37583174920763 1 0.84664057617629 0.257402884156171 1 0.82331862709549
0.54168599667435 0.457155526655613 0.656821761800185 0.183941078423906 1 1 0.161683672357435 1 1 0.423312201932524 0.0747842911655024 0.792962221612078
0.673186050328642 0.0369962455347437 0.81044972328627 1 0.582291280532936 0.952976849164993 1 0.675481666859766 0.422500996906005 0.793879964030151 0.0541588156390727 0.810483231908871
0.303822390326586 0.0797938145055275 0.832656878968354 0.526445228207589 0.365421536985716 1 1 1 1 1 0.385117144415306 0.676370557303432
0.560362361746589 0.918627733199383 0.673759723084783 0.585375566553761 0.761286733596636 0.299211225514456 0.341258855327727 0.767002506450764 0.664859363393505 0.920752744532859 1 0.32942986643463
1 0.280636442246777 0.308106242825801 0.684645554429745 0.366880415529709 1 0.443914758084756 0.656821761800185 0.592929594437947 1 1 0.287445070454714
0.615472405808067 0.566325876087521 0.150144504199147 0.225517478294122 0.92035514471495 0.385117144415306 1 1 0.603260199296521 0.818743461291787 0.21484137860391 0.475525639357887
