Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
584,324,1227,663,1168,648,59,15,1.80246913580247,1.85067873303167,0.754562597176098
658,335,1240,656,1316,670,-76,-14,1.96417910447761,1.89024390243902,0.642376382096224
630,291,1285,607,1260,582,25,25,2.16494845360825,2.1169686985173,0.795028803581938
633,280,1163,664,1266,560,-103,104,2.26071428571429,1.75150602409639,0.00306310830087187
640,282,1222,672,1280,564,-58,108,2.26950354609929,1.81845238095238,0.00968207881457349
571,318,1302,669,1142,636,160,33,1.79559748427673,1.94618834080718,0.3418575473512
589,260,1102,639,1178,520,-76,119,2.26538461538462,1.7245696400626,0.0021630163019178
517,281,1122,672,1034,562,88,110,1.83985765124555,1.66964285714286,0.272992296888027
531,315,1112,631,1062,630,50,1,1.68571428571429,1.76228209191759,0.609235957291942
586,324,1213,640,1172,648,41,-8,1.80864197530864,1.8953125,0.580954255776855
613,294,1222,596,1226,588,-4,8,2.08503401360544,2.0503355704698,0.846590416669186
582,281,1153,637,1164,562,-11,75,2.0711743772242,1.81004709576138,0.123859359030693
631,371,1215,659,1262,742,-47,-83,1.70080862533693,1.84370257966616,0.321953515786842
572,347,1161,654,1144,694,17,-40,1.64841498559078,1.77522935779817,0.376852773379483
589,315,1182,604,1178,630,4,-26,1.86984126984127,1.95695364238411,0.596196250168006
619,300,1160,706,1238,600,-78,106,2.06333333333333,1.64305949008499,0.00709950111924655
635,318,1227,651,1270,636,-43,15,1.99685534591195,1.88479262672811,0.491705267958896
565,318,1184,604,1130,636,54,-32,1.77672955974843,1.96026490066225,0.254310727436586
614,293,1261,607,1228,586,33,21,2.09556313993174,2.07742998352554,0.919955100798356
602,334,1164,613,1204,668,-40,-55,1.80239520958084,1.89885807504078,0.537693120806357
614,346,1273,661,1228,692,45,-31,1.77456647398844,1.92586989409985,0.322294122516784
582,301,1156,632,1164,602,-8,30,1.93355481727575,1.82911392405063,0.520636014345636
584,312,1288,679,1168,624,120,55,1.87179487179487,1.89690721649485,0.874940688818645
586,313,1206,588,1172,626,34,-38,1.87220447284345,2.05102040816327,0.290677026863472
578,289,1188,618,1156,578,32,40,2,1.92233009708738,0.65039699164843
668,321,1221,597,1336,642,-115,-45,2.0809968847352,2.04522613065327,0.83699151189777
605,358,1260,718,1210,716,50,2,1.68994413407821,1.75487465181059,0.643591209746739
621,361,1204,666,1242,722,-38,-56,1.7202216066482,1.80780780780781,0.544680698458846
550,338,1119,670,1100,676,19,-6,1.62721893491124,1.67014925373134,0.758403458480095
611,341,1216,605,1222,682,-6,-77,1.79178885630499,2.0099173553719,0.171766890082863
635,326,1261,665,1270,652,-9,13,1.9478527607362,1.89624060150376,0.747048498408556
586,330,1221,625,1172,660,49,-35,1.77575757575758,1.9536,0.259867424302075
620,296,1159,646,1240,592,-81,54,2.09459459459459,1.79411764705882,0.0709907556139863
605,296,1216,688,1210,592,6,96,2.04391891891892,1.76744186046512,0.0881012838587212
601,298,1149,650,1202,596,-53,54,2.01677852348993,1.76769230769231,0.125150984846915
598,303,1179,619,1196,606,-17,13,1.97359735973597,1.90468497576737,0.68003092644979
547,362,1210,654,1094,724,116,-70,1.51104972375691,1.85015290519878,0.0153481684027413
622,322,1197,686,1244,644,-47,42,1.93167701863354,1.74489795918367,0.22354202031508
668,333,1231,743,1336,666,-105,77,2.00600600600601,1.65679676985195,0.0186353469112078
630,346,1149,585,1260,692,-111,-107,1.82080924855491,1.96410256410256,0.367649881773108
537,326,1206,577,1074,652,132,-75,1.64723926380368,2.09012131715771,0.00609164356451227
616,342,1205,678,1232,684,-27,-6,1.80116959064327,1.77728613569322,0.871862824545553
568,323,1191,749,1136,646,55,103,1.75851393188855,1.59012016021362,0.22915443364703
629,382,1198,640,1258,764,-60,-124,1.64659685863874,1.871875,0.115109005927031
644,303,1216,540,1288,606,-72,-66,2.12541254125413,2.25185185185185,0.50580268593423
592,308,1205,578,1184,616,21,-38,1.92207792207792,2.08477508650519,0.348639895441064
596,250,1200,559,1192,500,8,59,2.384,2.14669051878354,0.248536749558032
542,334,1154,627,1084,668,70,-41,1.62275449101796,1.84051036682616,0.141197397591993
642,353,1129,687,1284,706,-155,-19,1.81869688385269,1.6433770014556,0.21596292769718
620,366,1298,687,1240,732,58,-45,1.69398907103825,1.88937409024745,0.178758040091246
593,282,1153,621,1186,564,-33,57,2.10283687943262,1.85668276972625,0.155151562857278
616,323,1128,654,1232,646,-104,8,1.90712074303406,1.72477064220184,0.233331108595029
572,343,1197,681,1144,686,53,-5,1.66763848396501,1.75770925110132,0.52887794111159
594,305,1159,614,1188,610,-29,4,1.94754098360656,1.88762214983713,0.717232101816919
601,343,1260,620,1202,686,58,-66,1.75218658892128,2.03225806451613,0.0766552841483123
627,287,1140,582,1254,574,-114,8,2.18466898954704,1.95876288659794,0.211780278213512
589,325,1187,645,1178,650,9,-5,1.81230769230769,1.84031007751938,0.856315718647654
584,337,1157,629,1168,674,-11,-45,1.73293768545994,1.83942766295707,0.480504522634958
544,317,1134,595,1088,634,46,-39,1.71608832807571,1.90588235294118,0.22818894705593
577,292,1218,613,1154,584,64,29,1.97602739726027,1.98694942903752,0.949624132889607
617,337,1177,646,1234,674,-57,-28,1.83086053412463,1.82198142414861,0.953613487162535
603,346,1217,697,1206,692,11,5,1.74277456647399,1.74605451936872,0.981815755652322
