Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
620,404,1044,601,992,646.4,52,-45.4000000000001,1.53465346534653,1.73710482529118,0.130678769403613
689,377,1067,644,1102.4,603.2,-35.4000000000001,40.8,1.82758620689655,1.65683229813665,0.226506631243368
724,456,1093,651,1158.4,729.6,-65.4000000000001,-78.6,1.58771929824561,1.678955453149,0.471807737395902
690,430,1024,511,1104,688,-80,-177,1.6046511627907,2.00391389432485,0.00670796883177447
596,350,1049,517,953.6,560,95.4,-43,1.70285714285714,2.02901353965184,0.0422654379715648
665,356,1063,612,1064,569.6,-1,42.4,1.86797752808989,1.73692810457516,0.380329417049172
644,343,1062,639,1030.4,548.8,31.5999999999999,90.1999999999999,1.87755102040816,1.66197183098592,0.143473229488112
681,399,1080,592,1089.6,638.4,-9.60000000000014,-46.4000000000001,1.70676691729323,1.82432432432432,0.412182102303912
702,338,1087,480,1123.2,540.8,-36.2,-60.8000000000001,2.07692307692308,2.26458333333333,0.314612528635907
659,379,1070,521,1054.4,606.4,15.5999999999999,-85.4,1.73878627968338,2.05374280230326,0.0470444324609079
652,306,1090,503,1043.2,489.6,46.8,13.4,2.13071895424837,2.16699801192843,0.847534241333858
608,388,1052,542,972.8,620.8,79.1999999999999,-78.8000000000001,1.56701030927835,1.9409594095941,0.0107333147933126
700,410,992,603,1120,656,-128,-53,1.70731707317073,1.64510779436153,0.646002319202937
679,406,1161,639,1086.4,649.6,74.5999999999999,-10.6,1.67241379310345,1.8169014084507,0.299240779140981
686,335,990,553,1097.6,536,-107.6,17,2.04776119402985,1.79023508137432,0.114091876044207
700,357,1011,610,1120,571.2,-109,38.8,1.96078431372549,1.65737704918033,0.0419008337472409
661,360,1072,615,1057.6,576,14.3999999999999,39,1.83611111111111,1.74308943089431,0.529604219178015
690,365,1039,494,1104,584,-65,-90,1.89041095890411,2.10323886639676,0.208271368910892
657,412,1167,573,1051.2,659.2,115.8,-86.2000000000001,1.59466019417476,2.03664921465969,0.00254748201672228
705,337,1039,540,1128,539.2,-89,0.799999999999955,2.0919881305638,1.92407407407407,0.323573920692722
645,339,1071,552,1032,542.4,39,9.60000000000002,1.90265486725664,1.94021739130435,0.818390557473499
705,392,1010,579,1128,627.2,-118,-48.2000000000001,1.7984693877551,1.74438687392055,0.708781573909258
636,338,1034,540,1017.6,540.8,16.4,-0.800000000000068,1.88165680473373,1.91481481481481,0.838577429393935
636,398,1065,526,1017.6,636.8,47.4,-110.8,1.59798994974874,2.02471482889734,0.00450447652616927
668,363,1071,582,1068.8,580.8,2.20000000000005,1.19999999999993,1.84022038567493,1.84020618556701,0.999925899498685
653,408,1091,639,1044.8,652.8,46.2000000000001,-13.8000000000001,1.60049019607843,1.70735524256651,0.42169030176724
