gene fun syn ratio
ADGRE3 76 43 1.76744186046512
ADGRE5 149 48 3.10416666666667
CLEC17A 58 19 3.05263157894737
DDX39A 74 34 2.17647058823529
DNAJB1 45 23 1.95652173913043
GIPC1 35 27 1.2962962962963
NDUFB7 11 10 1.1
PKN1 148 64 2.3125
PTGER1 56 31 1.80645161290323
TECR 38 16 2.375
ZNF333 112 37 3.02702702702703
ADGRE2 123 57 2.15789473684211
ADGRE3 93 42 2.21428571428571
ADGRE5 126 50 2.52
CLEC17A 53 24 2.20833333333333
DDX39A 47 36 1.30555555555556
DNAJB1 47 23 2.04347826086957
GIPC1 54 26 2.07692307692308
NDUFB7 24 9 2.66666666666667
PKN1 151 77 1.96103896103896
PTGER1 59 30 1.96666666666667
TECR 47 20 2.35
ZNF333 108 35 3.08571428571429
ADGRE2 110 53 2.07547169811321
ADGRE3 99 38 2.60526315789474
ADGRE5 123 54 2.27777777777778
CLEC17A 56 18 3.11111111111111
DDX39A 53 30 1.76666666666667
DNAJB1 57 24 2.375
GIPC1 51 19 2.68421052631579
NDUFB7 23 10 2.3
PKN1 142 63 2.25396825396825
PTGER1 61 33 1.84848484848485
TECR 59 17 3.47058823529412
ZNF333 81 48 1.6875
