gene fun syn ratio
GIPC1 50 30 1.66666666666667
NDUFB7 27 15 1.8
PKN1 156 89 1.75280898876405
PTGER1 58 28 2.07142857142857
TECR 45 19 2.36842105263158
ZNF333 114 40 2.85
ADGRE2 144 69 2.08695652173913
ADGRE3 113 62 1.82258064516129
ADGRE5 132 50 2.64
CLEC17A 60 23 2.60869565217391
DDX39A 61 24 2.54166666666667
DNAJB1 49 24 2.04166666666667
GIPC1 46 27 1.7037037037037
NDUFB7 16 14 1.14285714285714
PKN1 144 77 1.87012987012987
PTGER1 62 31 2
TECR 46 30 1.53333333333333
ZNF333 108 51 2.11764705882353
ADGRE2 147 63 2.33333333333333
ADGRE3 96 58 1.6551724137931
ADGRE5 110 69 1.59420289855072
CLEC17A 63 29 2.17241379310345
DDX39A 68 31 2.19354838709677
DNAJB1 57 20 2.85
GIPC1 47 22 2.13636363636364
NDUFB7 26 14 1.85714285714286
PKN1 134 82 1.63414634146341
PTGER1 51 33 1.54545454545455
TECR 52 30 1.73333333333333
ZNF333 116 46 2.52173913043478
ADGRE2 122 62 1.96774193548387
ADGRE3 84 55 1.52727272727273
ADGRE5 136 64 2.125
CLEC17A 71 25 2.84
DDX39A 58 32 1.8125
DNAJB1 60 25 2.4
GIPC1 51 33 1.54545454545455
NDUFB7 31 10 3.1
PKN1 165 77 2.14285714285714
PTGER1 60 38 1.57894736842105
TECR 47 23 2.04347826086957
ZNF333 116 42 2.76190476190476
ADGRE2 147 63 2.33333333333333
ADGRE3 115 40 2.875
ADGRE5 111 74 1.5
CLEC17A 73 34 2.14705882352941
DDX39A 69 32 2.15625
DNAJB1 57 22 2.59090909090909
GIPC1 45 22 2.04545454545455
NDUFB7 22 14 1.57142857142857
PKN1 144 94 1.53191489361702
PTGER1 51 42 1.21428571428571
TECR 51 24 2.125
ZNF333 104 42 2.47619047619048
ADGRE2 126 85 1.48235294117647
ADGRE3 117 51 2.29411764705882
ADGRE5 133 62 2.14516129032258
CLEC17A 47 16 2.9375
DDX39A 68 31 2.19354838709677
DNAJB1 59 20 2.95
GIPC1 47 31 1.51612903225806
NDUFB7 23 16 1.4375
PKN1 161 97 1.65979381443299
PTGER1 58 35 1.65714285714286
TECR 40 23 1.73913043478261
ZNF333 109 40 2.725
ADGRE2 142 76 1.86842105263158
ADGRE3 88 56 1.57142857142857
ADGRE5 147 66 2.22727272727273
CLEC17A 63 20 3.15
DDX39A 73 35 2.08571428571429
DNAJB1 47 18 2.61111111111111
GIPC1 50 34 1.47058823529412
NDUFB7 23 10 2.3
PKN1 137 72 1.90277777777778
PTGER1 48 28 1.71428571428571
TECR 40 17 2.35294117647059
ZNF333 118 42 2.80952380952381
ADGRE2 152 70 2.17142857142857
ADGRE3 91 48 1.89583333333333
