gene fun syn ratio
TECR 50 25 2
ZNF333 124 58 2.13793103448276
ADGRE2 135 91 1.48351648351648
ADGRE3 127 51 2.49019607843137
ADGRE5 148 64 2.3125
CLEC17A 64 31 2.06451612903226
DDX39A 70 27 2.59259259259259
DNAJB1 63 25 2.52
GIPC1 49 29 1.68965517241379
NDUFB7 27 19 1.42105263157895
PKN1 152 102 1.49019607843137
PTGER1 61 31 1.96774193548387
TECR 47 26 1.80769230769231
ZNF333 106 56 1.89285714285714
ADGRE2 165 67 2.46268656716418
ADGRE3 106 59 1.79661016949153
ADGRE5 147 65 2.26153846153846
CLEC17A 55 30 1.83333333333333
DDX39A 82 49 1.6734693877551
DNAJB1 53 18 2.94444444444444
GIPC1 48 40 1.2
NDUFB7 29 12 2.41666666666667
PKN1 151 82 1.84146341463415
PTGER1 49 40 1.225
TECR 38 27 1.40740740740741
ZNF333 125 49 2.55102040816327
ADGRE2 172 85 2.02352941176471
ADGRE3 104 61 1.70491803278689
ADGRE5 166 75 2.21333333333333
CLEC17A 70 31 2.25806451612903
DDX39A 72 38 1.89473684210526
DNAJB1 61 24 2.54166666666667
GIPC1 44 36 1.22222222222222
NDUFB7 25 9 2.77777777777778
PKN1 140 94 1.48936170212766
PTGER1 58 39 1.48717948717949
TECR 49 24 2.04166666666667
ZNF333 124 46 2.69565217391304
ADGRE2 161 68 2.36764705882353
ADGRE3 112 42 2.66666666666667
ADGRE5 145 66 2.1969696969697
CLEC17A 56 28 2
DDX39A 56 27 2.07407407407407
DNAJB1 68 30 2.26666666666667
GIPC1 60 26 2.30769230769231
NDUFB7 17 17 1
PKN1 146 80 1.825
PTGER1 68 39 1.74358974358974
TECR 51 22 2.31818181818182
ZNF333 115 57 2.01754385964912
ADGRE2 135 83 1.62650602409639
ADGRE3 107 61 1.75409836065574
ADGRE5 143 68 2.10294117647059
CLEC17A 63 26 2.42307692307692
DDX39A 79 29 2.72413793103448
DNAJB1 61 24 2.54166666666667
GIPC1 52 26 2
NDUFB7 19 16 1.1875
PKN1 149 83 1.79518072289157
PTGER1 61 30 2.03333333333333
TECR 48 27 1.77777777777778
ZNF333 109 51 2.13725490196078
ADGRE2 149 77 1.93506493506494
ADGRE3 119 48 2.47916666666667
ADGRE5 155 61 2.54098360655738
CLEC17A 61 31 1.96774193548387
DDX39A 66 40 1.65
DNAJB1 52 25 2.08
GIPC1 63 40 1.575
NDUFB7 28 17 1.64705882352941
PKN1 153 78 1.96153846153846
PTGER1 56 37 1.51351351351351
TECR 57 25 2.28
ZNF333 109 40 2.725
ADGRE2 158 75 2.10666666666667
ADGRE3 113 59 1.91525423728814
ADGRE5 149 59 2.52542372881356
CLEC17A 67 33 2.03030303030303
DDX39A 75 38 1.97368421052632
DNAJB1 58 32 1.8125
GIPC1 46 25 1.84
NDUFB7 19 6 3.16666666666667
PKN1 156 92 1.69565217391304
PTGER1 52 37 1.40540540540541
TECR 44 14 3.14285714285714
ZNF333 137 44 3.11363636363636
ADGRE2 164 77 2.12987012987013
ADGRE3 110 52 2.11538461538462
ADGRE5 141 66 2.13636363636364
CLEC17A 65 31 2.09677419354839
DDX39A 72 34 2.11764705882353
DNAJB1 63 30 2.1
GIPC1 41 31 1.32258064516129
NDUFB7 18 16 1.125
PKN1 154 91 1.69230769230769
PTGER1 65 51 1.27450980392157
TECR 39 33 1.18181818181818
ZNF333 126 57 2.21052631578947
ADGRE2 125 72 1.73611111111111
ADGRE3 97 55 1.76363636363636
ADGRE5 135 79 1.70886075949367
CLEC17A 64 26 2.46153846153846
DDX39A 77 40 1.925
DNAJB1 64 19 3.36842105263158
GIPC1 54 41 1.31707317073171
NDUFB7 23 11 2.09090909090909
PKN1 156 94 1.65957446808511
PTGER1 69 27 2.55555555555556
TECR 52 27 1.92592592592593
ZNF333 137 44 3.11363636363636
ADGRE2 128 72 1.77777777777778
ADGRE3 118 49 2.40816326530612
ADGRE5 156 58 2.68965517241379
CLEC17A 69 38 1.81578947368421
DDX39A 77 40 1.925
DNAJB1 64 24 2.66666666666667
GIPC1 48 26 1.84615384615385
NDUFB7 17 10 1.7
PKN1 148 84 1.76190476190476
PTGER1 74 44 1.68181818181818
TECR 57 36 1.58333333333333
ZNF333 129 44 2.93181818181818
ADGRE2 167 75 2.22666666666667
ADGRE3 108 64 1.6875
ADGRE5 141 78 1.80769230769231
CLEC17A 64 21 3.04761904761905
DDX39A 81 32 2.53125
DNAJB1 63 22 2.86363636363636
GIPC1 43 34 1.26470588235294
NDUFB7 23 15 1.53333333333333
PKN1 163 103 1.58252427184466
PTGER1 53 48 1.10416666666667
TECR 55 27 2.03703703703704
ZNF333 127 60 2.11666666666667
ADGRE2 148 79 1.87341772151899
ADGRE3 93 53 1.75471698113208
ADGRE5 140 67 2.08955223880597
CLEC17A 75 25 3
DDX39A 58 42 1.38095238095238
DNAJB1 57 29 1.96551724137931
GIPC1 54 33 1.63636363636364
NDUFB7 14 8 1.75
PKN1 157 94 1.67021276595745
PTGER1 52 38 1.36842105263158
TECR 58 27 2.14814814814815
ZNF333 130 46 2.82608695652174
ADGRE2 150 77 1.94805194805195
ADGRE3 108 38 2.84210526315789
ADGRE5 147 68 2.16176470588235
CLEC17A 68 23 2.95652173913043
DDX39A 77 32 2.40625
DNAJB1 48 29 1.6551724137931
GIPC1 49 34 1.44117647058824
NDUFB7 24 11 2.18181818181818
PKN1 148 78 1.8974358974359
PTGER1 59 37 1.59459459459459
TECR 53 24 2.20833333333333
ZNF333 123 72 1.70833333333333
ADGRE2 169 88 1.92045454545455
ADGRE3 118 53 2.22641509433962
ADGRE5 160 64 2.5
CLEC17A 65 22 2.95454545454545
DDX39A 68 41 1.65853658536585
DNAJB1 54 23 2.34782608695652
GIPC1 39 41 0.951219512195122
NDUFB7 25 9 2.77777777777778
PKN1 158 73 2.16438356164384
PTGER1 65 24 2.70833333333333
TECR 45 18 2.5
ZNF333 113 47 2.40425531914894
ADGRE2 153 67 2.28358208955224
ADGRE3 91 61 1.49180327868852
ADGRE5 160 72 2.22222222222222
CLEC17A 69 26 2.65384615384615
DDX39A 64 34 1.88235294117647
DNAJB1 60 35 1.71428571428571
GIPC1 58 32 1.8125
NDUFB7 16 10 1.6
PKN1 179 89 2.01123595505618
PTGER1 61 41 1.48780487804878
TECR 54 19 2.84210526315789
ZNF333 112 48 2.33333333333333
ADGRE2 153 78 1.96153846153846
ADGRE3 118 50 2.36
ADGRE5 154 65 2.36923076923077
CLEC17A 73 23 3.17391304347826
DDX39A 63 38 1.65789473684211
DNAJB1 55 31 1.7741935483871
GIPC1 53 32 1.65625
NDUFB7 21 11 1.90909090909091
PKN1 154 80 1.925
PTGER1 60 44 1.36363636363636
TECR 49 38 1.28947368421053
ZNF333 109 49 2.22448979591837
ADGRE2 146 80 1.825
ADGRE3 96 52 1.84615384615385
ADGRE5 131 59 2.22033898305085
CLEC17A 75 24 3.125
DDX39A 62 43 1.44186046511628
DNAJB1 55 20 2.75
GIPC1 55 31 1.7741935483871
NDUFB7 21 12 1.75
PKN1 150 78 1.92307692307692
PTGER1 69 39 1.76923076923077
TECR 53 28 1.89285714285714
ZNF333 117 47 2.48936170212766
ADGRE2 134 72 1.86111111111111
ADGRE3 102 56 1.82142857142857
ADGRE5 150 56 2.67857142857143
CLEC17A 63 18 3.5
DDX39A 65 28 2.32142857142857
DNAJB1 56 22 2.54545454545455
GIPC1 41 24 1.70833333333333
NDUFB7 24 12 2
PKN1 162 96 1.6875
PTGER1 71 47 1.51063829787234
TECR 52 24 2.16666666666667
ZNF333 130 59 2.20338983050847
ADGRE2 142 68 2.08823529411765
ADGRE3 104 59 1.76271186440678
ADGRE5 152 87 1.74712643678161
CLEC17A 60 20 3
DDX39A 76 23 3.30434782608696
DNAJB1 61 23 2.65217391304348
GIPC1 58 34 1.70588235294118
NDUFB7 18 15 1.2
PKN1 152 90 1.68888888888889
PTGER1 62 45 1.37777777777778
TECR 52 25 2.08
ZNF333 132 39 3.38461538461538
ADGRE2 143 86 1.66279069767442
ADGRE3 104 58 1.79310344827586
ADGRE5 142 70 2.02857142857143
CLEC17A 72 28 2.57142857142857
DDX39A 73 30 2.43333333333333
DNAJB1 68 22 3.09090909090909
GIPC1 67 30 2.23333333333333
