prox_p prox_int_p prox2_p prox2_all_p prox2_int_p iecat_p skat_int_p skat_ext_p skat_all_p iecat_p_syn skat_int_p_syn skat_ext_p_syn skat_all_p_syn
0.881353504415526 0.747916420040198 0.881334752787549 0.744996461804791 0.747921590161489 0.234632566041266 0.496186151843451 0.588132585800838 0.839620502262267 0.101128044475176 0.179985199646606 0.577470020418991 0.474700842666742
0.974492922528448 0.791179168520106 0.974492063233039 0.824546535547201 0.79118727786255 0.780848559059351 1 0.868031734997145 1 0.871357218278747 0.741757020876474 1 0.925296676215848
0.444431608095041 0.867765773603369 0.443826342617231 0.935668989109697 0.867770425698156 1 0.757691664161551 0.376353639321993 0.376019793528835 0.500983676261165 0.273512858062275 0.19557626275794 0.411551850658313
0.852523642379492 0.0291663186499664 0.852493771251336 0.0368781065977562 0.0292690222939273 0.3267843909437 0.397895500146707 0.17419015986597 0.217269320049235 0.674072816039697 0.704156983628348 0.508626228823479 0.612977688296206
0.42751541895366 0.207040228484374 0.428133085757197 0.178168781989833 0.207177439397999 0.737753628418265 0.89586459859438 0.775434668448092 1 0.352225418853306 0.44475418796352 0.280726731437401 0.220262505669491
0.209050436647021 0.560030775091486 0.209878425814038 0.528928450814746 0.560073321210395 0.845417757683888 0.517456688409505 0.521437776252821 0.801730653172504 0.255023330238758 0.173425265353271 0.411148237052191 0.355355730167501
0.890959450228141 0.732641092527356 0.890944181964682 0.736627006308063 0.732652179619168 0.655092931595199 0.713502572767656 0.459003502723707 0.263594956168214 0.470282024874978 0.667823420407409 0.647780877339939 0.598970680453756
0.822683852230407 0.595641860428352 0.8227469725255 0.595642859159678 0.59564285915956 1 0.897978689913916 1 0.909331502007125 0.925508047616722 0.932107060202204 0.923904390687523 0.932549631498907
0.665595594893453 0.741782435043303 0.665744741891614 0.715484612667789 0.741782112334503 0.27455198796612 0.339499463373217 1 0.802760222444472 1 1 0.694066794501289 0.69083464120008
0.0263363684932116 0.0950978675295674 0.0258022564986554 0.0953184466055017 0.095318446605505 0.894894309449259 0.860843078984117 0.0620988708454763 0.129045479773786 0.817581313283002 0.879460411082498 0.17862538105 0.127837222430243
0.677919381089944 0.317297774089852 0.678132537941993 0.33449992613892 0.317391162682109 0.793625320927287 0.775772679904317 0.503121972320772 0.658546805641038 0.92771688345702 1 0.861404222894771 0.876617901055316
0.669007789822668 0.820850855752994 0.668818694664365 0.787997244913194 0.82085979504327 0.138830774412138 0.150459386485317 0.753498785244662 0.647639451308188 0.445083631173021 0.455156586811127 0.831599860758897 0.606019820470306
0.585413228601925 0.345328645785157 0.58570646632441 0.308391862937613 0.345429887031484 1 1 1 1 0.268624537673252 0.406813751076433 0.650236790673863 0.530727517520001
0.33838787275478 0.567911899177811 0.337834603240483 0.59860065558735 0.567894884328416 0.515402529158976 0.638132794583586 0.197593070189827 0.135832607019929 0.746762552413952 0.805053782288795 1 0.921790667845824
0.0866096071006859 0.0350523694711575 0.0859246349222459 0.0336352835177303 0.035178540517599 0.578072930304363 0.42860322583749 0.0540230284488259 0.0506086465698879 0.880369868220891 0.692382511251336 0.878537670938251 0.61810847944531
0.00786991693103455 0.083351605363728 0.00776444404708663 0.0711250240705094 0.083478968381785 0.669147583845743 0.709847911127173 0.0571777022054084 0.0498410367496187 1 1 0.191683020269861 0.213120263787049
0.859705121178504 0.501460790225228 0.859677120558958 0.522530389617037 0.501494816855079 0.589534918640001 0.772398261007449 0.627647775592697 0.694048640411329 0.230406349966914 0.340747517124468 0.602221519044053 0.33457247922943
0.628820238928745 0.96437287571269 0.628577884482998 0.964331357369694 0.964372972867679 0.924707777857381 0.831406004369579 1 1 0.471667430971289 0.422730888341312 0.848417756235971 0.687446205245474
0.318705952740452 0.333852286371993 0.319518575140168 0.223812672053859 0.334018479957398 0.572301174742919 0.507862415813996 0.87557397551739 1 0.0837025148982894 0.0516677777203561 0.596793428103576 0.322505313045161
0.96348379332991 0.590291064254872 0.963481768665806 0.636668722250127 0.590313756215168 0.572265884014209 0.40323988020044 0.368449518155174 0.536693710261608 0.836262625714015 0.932513751757341 0.577426510139138 0.858762092670947
0.0107743198410822 0.008389738391327 0.0105126343475531 0.00893045633957898 0.00846918808459366 0.609881583139069 0.46313289882721 0.0902978654342698 0.0801768138140833 0.135824513630278 0.131342533651403 0.18220786286227 0.0931689900035901
0.696517965528105 0.740270226394901 0.696402981887965 0.767089094272857 0.740284642208619 0.381534614858814 0.89562410856249 0.406982373512975 0.452989052620732 0.218126828523621 0.176743550091411 0.185098160413295 0.191169614530425
0.544751465376616 0.385042287045476 0.545100973106015 0.37331338158224 0.385151594154871 1 0.688314100865796 0.125347096616224 0.19499227691354 0.0317624948941218 0.0136344348713325 0.210461168811238 0.182420042088482
0.0128850779423138 0.00161320964177403 0.0133630505623613 0.00165660784839409 0.00165660784839454 0.476946119415326 0.617190500440222 0.54048751433241 0.277361778991008 0.0512811398673292 0.0162209468634994 0.0373757193583814 0.00863225250433497
0.899368973256019 0.0567130093093036 0.899393146124386 0.0591357702917577 0.0569884556347522 0.614163591796696 0.628652108544027 0.560977225026134 0.640109650601304 0.355443229984502 0.0850905229247855 0.655412717647047 0.87684594916171
0.656272287669231 0.586177984859262 0.656042358022661 0.621462597508583 0.58618118614957 0.151002488949812 0.244573582687313 0.69071511167329 0.897035878381394 0.849747401673244 0.742111420229333 0.746292576089604 0.783034430213058
0.597564538816831 0.385247307868694 0.597191996904764 0.360114388558042 0.385364255268251 0.275646485849963 0.703796471483207 0.198075397732639 0.45512221047219 0.825522765765674 0.810488628602425 0.874820030819461 0.648116588719255
0.878753042033862 0.769800561804102 0.878730995281895 0.875282377681763 0.76981718817974 0.445528568792436 0.28906444052814 0.355602237329863 0.152518837291594 0.157631429271098 0.208916087750156 0.597355543724727 0.367125670424629
0.476168303189267 0.813598506917955 0.476582401586734 0.81103748148199 0.81359771597002 0.695280352766447 0.763763245589479 0.690851874869761 0.716154752740835 0.447226495911229 0.801144210833412 0.620953456963763 0.750934001694663
0.822184481136719 0.780785091835823 0.822219033756554 0.791531645282136 0.780782540789508 0.112541482644386 0.199440887775581 0.257450735385756 0.200218916816129 0.27131356232169 0.572982069084782 0.718970341327747 0.751533055908639
0.871278717790203 0.365905631383481 0.871251357017626 0.363320619569398 0.365955217672866 0.447591748334965 0.41004265265873 0.605921488822564 0.488365373400896 1 0.921187181281361 0.733771911729515 0.821919606901018
0.274809088759234 0.163097982515542 0.274346195376006 0.179518760917703 0.163192994362383 0.168183720912713 0.2005374115432 0.543900833980757 0.362904836980555 0.570412427110422 0.640177627516033 0.783620339626164 0.64890447538077
0.361961341301127 0.0896207779858421 0.362654718445578 0.0674148412641406 0.0897520081002702 0.382147500549589 0.6470443783189 0.330543322000363 0.252446363595947 0.586057900980782 0.621095413816379 1 0.781570431389335
0.490267724756656 0.626611143204095 0.490666311680066 0.597363060941018 0.626638447424961 0.373523523516662 0.29570018199913 1 0.92101691694275 0.33288177529876 0.553632372286099 0.277713026311135 0.348168046182915
0.880946076654969 0.0488349089560051 0.880974522453633 0.0730569323712008 0.0488839365311423 0.538400805746846 0.341508407878613 0.838097134057656 0.233836480806276 0.440450232757859 0.833894287322439 0.165857408440756 0.19300430238191
0.870677075846812 0.444796302287399 0.870647331563201 0.432303114319012 0.44489087315723 0.538151489238486 0.484990267601792 0.662958154696339 0.263215889962675 0.389459469173327 0.405666373746083 0.532059637401356 0.491646174248937
0.552287216549124 0.506119577145815 0.552751009855181 0.579870201056952 0.506234950853961 0.154911661509378 0.114308220499033 0.231471525210182 0.165455805148721 0.486603476753161 0.422428504600106 0.136178539152738 0.104585840536142
0.0089215559089228 0.0090388882145031 0.00874923317836301 0.0101368782842831 0.00915398535126654 0.277776435810866 0.715909016793281 0.729401999457418 0.768045334623447 0.119074336594284 0.543940773792946 0.00481217814475432 0.000716997100292494
0.899276078874102 0.714266192796212 0.899298083819471 0.711090592812182 0.714265892167521 0.536469978659681 0.410691995559855 0.425015756523812 0.628627666469509 0.577838037710145 0.626561650953623 0.551054567059858 0.72796665764539
0.46055553909775 0.0803597241818775 0.46015218866452 0.0804897935452178 0.0804897935452376 0.378605688951144 0.319499291847003 0.861191626134837 0.583196517840469 0.0214862782495697 0.0491615079525948 0.265263512793673 0.0708468882762074
0.191122647106376 0.115783836693607 0.192227872676961 0.110537302361881 0.115898204263747 0.105729687009018 0.145681495065436 0.535914187773705 0.282821291283631 0.564260476589059 0.452122969531007 0.576113111384442 0.425033629549866
