prox_p prox_int_p prox2_p prox2_all_p prox2_int_p iecat_p skat_int_p skat_ext_p skat_all_p iecat_p_syn skat_int_p_syn skat_ext_p_syn skat_all_p_syn
0.646671976476098 0.810042727044439 0.64689650013076 0.858376019682029 0.810047121796887 0.770341107238699 1 0.858800650673307 0.935721678943965 0.611304502077987 0.693663199731385 0.399370480091993 0.492900066965074
0.709457316221514 0.591414786679868 0.709656069546597 0.605552946419558 0.591512808496218 0.0842978003643845 0.0629215521614724 0.899100915471359 0.602171664747066 0.101377342625316 0.054171683023046 0.759249461832167 0.414947164804677
0.500163606126936 0.656801810619504 0.499889055012775 0.587023021529209 0.656801734862432 0.813452365550276 0.895810062892072 0.894129299430052 0.805941563193136 0.894752144449603 1 0.828268212669243 0.89244643385774
0.937957674116429 0.737776313734362 0.937965829010788 0.839944372019453 0.737792166535488 0.538156909691575 0.624443601743586 0.849111862819047 0.568328109448234 0.208968997843203 0.269850238634435 1 0.861706130975424
0.808911798887158 0.973286463928477 0.808797283587653 0.974211257668592 0.973286448201729 0.932986603641204 0.853891374741311 0.664222331587624 0.760041891775773 0.148156327387982 0.290160622151891 0.593775421687506 0.391268323391921
0.0894094454159526 0.708407855517108 0.0905078814846545 0.738144607210831 0.708434203648581 0.823922467086205 1 0.710525536238674 1 1 1 0.224680271830276 0.282510288978135
0.0356942083352674 0.0179574451541718 0.035305044765567 0.0201805939441267 0.0180968971100866 0.549056440119478 0.530055073130783 0.68127416879663 0.693623156612747 0.160929803519553 0.471668264878727 0.0237568586128084 0.0161176633931387
0.960345592812119 0.179184302573054 0.960342184710832 0.190331637729127 0.179430865954727 0.320939306751046 0.138285696350943 0.434313119099644 0.544972979630298 0.435128938999637 0.37651602667428 0.673061672659943 0.349122833537604
0.395560039702457 0.0403465216396402 0.394923760657243 0.0354125581210535 0.0405522960492435 0.934118673649377 1 0.510593714376803 0.481394459343397 0.360075316328049 0.139679780682969 0.813745111282819 0.521446452503528
0.685015306955557 0.796585560222213 0.684842262282052 0.763084570844672 0.796582055754081 0.857789724916892 0.750884478709182 0.843908318687761 0.812980919929519 0.721938808565233 0.76586945281825 0.374659836932547 0.424670759473824
0.220651952912281 0.270696586092196 0.220107075207272 0.270769377995956 0.270769377995909 0.521391459610509 0.299003049268018 0.18178771223855 0.157545887514475 0.643442919260219 0.866676023285689 1 1
0.204130963553539 0.810263804924319 0.203399376290332 0.828576267369336 0.81026791214571 0.187674236988496 0.250260210349205 0.32701517124462 0.434916390786385 0.896083675748445 1 0.769153478142852 0.884976888516232
0.410506369664515 0.497596826331642 0.410102629823382 0.493783856005174 0.497688527895421 0.686449966646037 0.530185796101672 0.831359749328517 0.754847277147944 0.588597782748472 0.459324672452649 0.748024948909943 0.435699516500443
0.633430578074477 0.312325304378665 0.633782351353176 0.257730272536709 0.312534943102987 0.440932116443849 0.650560882945718 0.0381852522042557 0.165175049887917 0.521419940615392 0.521976763726637 0.0545062756079021 0.0440876908933905
0.969338095831901 0.723020047440486 0.969340206782634 0.70331215913743 0.723020338841483 0.416052863449397 0.625021285038612 0.48871984908669 0.470750065512105 1 1 0.736409230546682 0.857920204619472
0.0823280403594417 0.097405936497889 0.0830951284811297 0.0994669672279466 0.0974862933202605 0.220501922675208 0.13229457604298 0.0781411629393693 0.0217814322042559 0.160399156234021 0.242937331489263 0.763719530811156 0.885012356039436
